index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
127,1.13855,0.513525,0.394404,0.516462,0.129015,-0.118126,-0.0927829,0.511307,0.368819,0.2,-30.5223,11.3285,198.192,0.601405,0.37523,0.216883,0,0,0
128,1.14759,0.51975,0.400247,0.521608,0.128643,-0.122948,-0.0912257,0.511307,0.368819,0.2,-24.5628,12.7768,215.704,0.629195,0.402946,0.220786,0,0,0
129,1.15663,0.525875,0.406143,0.526836,0.128037,-0.124904,-0.0900846,0.511307,0.368819,0.2,-17.4245,14.5146,236.727,0.654363,0.430785,0.221012,0,0,0
130,1.16566,0.531929,0.412097,0.532229,0.127237,-0.124092,-0.089787,0.511307,0.368819,0.2,-10.3286,16.2446,257.707,0.676676,0.457591,0.218642,0,0,0
131,1.1747,0.537941,0.418118,0.537871,0.126288,-0.120552,-0.0908202,0.511307,0.368819,0.2,-4.4963,17.6691,275.088,0.695898,0.482208,0.214759,0,0,0
132,1.18373,0.543932,0.424211,0.54383,0.125216,-0.114184,-0.0936983,0.511307,0.368819,0.2,-1.14884,18.4908,285.318,0.711794,0.503479,0.210443,0,0,0
133,1.19277,0.549916,0.430378,0.550144,0.124009,-0.104698,-0.0989062,0.511307,0.368819,0.2,-0.738744,18.2201,281.195,0.724156,0.52031,0.206737,0,0,0
134,1.20181,0.555898,0.436619,0.556785,0.122598,-0.0917352,-0.10679,0.511307,0.368819,0.2,-0.629179,16.1277,249.101,0.733177,0.532599,0.204023,0,0,0
135,1.21084,0.561876,0.442924,0.563629,0.12089,-0.0752493,-0.117408,0.511307,0.368819,0.2,-0.484874,12.764,197.252,0.739377,0.541046,0.202158,0,0,0
136,1.21988,0.567853,0.449281,0.57047,0.11879,-0.0556196,-0.130498,0.511307,0.368819,0.2,-0.328042,8.8054,136.129,0.743285,0.54637,0.200982,0,0,0
